county_name,FIPS_Code,crime_rate_per_100000,Unemployment_rate_2023,PCTPOVALL_2023,MEDHHINC_2023,"Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
"St. Louis city, MO",29510,1791.995377,3.7,20.1,55231.0,9.525643434,40.17424385
"Crittenden County, AR",05035,1754.914968,4.2,20.6,52153.0,14.7110045,17.19515
"Alexander County, IL",17003,1664.700485,6.3,25.8,45550.0,13.34269663,12.55617978
"Kenedy County, TX",48261,1456.31068,7.1,14.9,43037.0,53.19148936,10.63829787
"De Soto Parish, LA",22031,1447.40243,4.1,17.7,53165.0,14.99648097,14.89361702
"Baltimore city, MD",24510,1419.537569,2.9,20.2,58616.0,12.79718031,35.42740539
"Shelby County, TN",47157,1315.003752,4.3,18.2,62402.0,10.16832687,34.19779025
"Marlboro County, SC",45069,1253.437132,7.2,27.2,42308.0,18.46861129,8.729655464
"Storey County, NV",32029,1217.656012,4.3,7.4,88684.0,10.12544803,31.63082437
"District of Columbia, DC",11001,1216.801325,4.9,15.2,104643.0,7.153297028,63.56362225
"Dillon County, SC",45033,1165.583272,4.4,24.4,45269.0,18.37108954,11.68824164
"Scott County, MO",29201,1163.145839,3.0,15.1,60088.0,13.57217878,21.67503015
"Philadelphia County, PA",42101,1150.29633,4.2,20.3,60196.0,12.60348091,34.63927807
"Pershing County, NV",32027,1148.756725,4.7,16.8,66928.0,14.36665318,9.348441926
"Greenwood County, SC",45047,1140.226324,3.5,16.9,56726.0,11.12302447,25.5655866
"Madison County, TN",47113,1138.42383,3.3,18.6,60663.0,9.687101373,25.95032641
"Davidson County, TN",47037,1129.513728,2.7,12.3,80216.0,9.659984755,47.32054526
"Marion County, IN",18097,1083.508119,3.3,15.6,66653.0,12.30223861,34.06121356
"Wayne County, MI",26163,1065.188284,4.4,20.6,57418.0,12.10050628,26.8874402
"Jackson County, MO",29095,1026.623686,3.4,12.0,66102.0,8.316162313,33.45699196
"Northwest Arctic Borough, AK",02188,1014.964216,9.6,19.1,78619.0,14.07933399,12.38981391
"Pemiscot County, MO",29155,998.7095326,4.9,27.4,42080.0,16.66666667,12.76574408
"Iberville Parish, LA",22047,974.0162436,4.2,20.2,54265.0,18.97414119,16.64307286
